time,emotion
2025-11-26 19:29:47,Surprised
2025-11-26 19:29:48,Surprised
2025-11-26 19:29:48,Surprised
2025-11-26 19:29:48,Surprised
2025-11-26 19:29:49,Surprised
2025-11-26 19:29:49,Surprised
2025-11-26 19:29:49,Surprised
2025-11-26 19:29:50,Surprised
2025-11-26 19:29:50,Surprised
2025-11-26 19:29:50,Surprised
2025-11-26 19:29:51,Surprised
2025-11-26 19:29:51,Surprised
2025-11-26 19:29:51,Surprised
2025-11-26 19:29:52,Surprised
2025-11-26 19:29:52,Surprised
2025-11-26 19:29:52,Surprised
2025-11-26 19:29:53,Calm
2025-11-26 19:29:53,Calm
2025-11-26 19:29:53,Calm
2025-11-26 19:29:54,Calm
2025-11-26 19:29:54,Calm
2025-11-26 19:29:54,Calm
2025-11-26 19:29:55,Calm
2025-11-26 19:29:55,Calm
2025-11-26 19:29:55,Calm
2025-11-26 19:29:56,Calm
2025-11-26 19:29:56,Happy
2025-11-26 19:29:56,Calm
2025-11-26 19:29:57,Calm
2025-11-26 19:29:57,Calm
2025-11-26 19:29:57,Calm
2025-11-26 19:29:58,Calm
2025-11-26 19:29:58,Calm
2025-11-26 19:29:58,Calm
2025-11-26 19:29:59,Calm
2025-11-26 19:29:59,Calm
2025-11-26 19:29:59,Calm
2025-11-26 19:30:00,Calm
2025-11-26 19:30:00,Calm
2025-11-26 19:30:00,Calm
2025-11-26 19:30:01,Calm
2025-11-26 19:30:01,Calm
2025-11-26 19:30:01,Calm
2025-11-26 19:30:02,Calm
2025-11-26 19:30:02,Calm
2025-11-26 19:30:02,Calm
2025-11-26 19:30:03,Calm
2025-11-26 19:30:03,Calm
2025-11-26 19:30:03,Calm
2025-11-26 19:30:04,Calm
2025-11-26 19:30:04,Calm
2025-11-26 19:30:04,Calm
2025-11-26 19:30:05,Calm
2025-11-26 19:30:05,Happy
2025-11-26 19:30:05,Happy
2025-11-26 19:30:06,Happy
2025-11-26 19:30:06,Calm
2025-11-26 19:30:06,Calm
2025-11-26 19:30:07,Calm
2025-11-26 19:30:07,Calm
2025-11-26 19:30:07,Calm
2025-11-26 19:30:08,Calm
2025-11-26 19:30:08,Calm
2025-11-26 19:30:09,Calm
2025-11-26 19:30:09,Calm
2025-11-26 19:30:09,Calm
2025-11-26 19:30:10,Calm
2025-11-26 19:30:10,Calm
2025-11-26 19:30:10,Calm
2025-11-26 19:30:11,Calm
2025-11-26 19:30:11,Calm
2025-11-26 19:30:11,Calm
2025-11-26 19:30:12,Calm
2025-11-26 19:30:12,Calm
2025-11-26 19:30:12,Calm
2025-11-26 19:30:13,Calm
2025-11-26 19:30:13,Happy
2025-11-26 19:30:13,Calm
2025-11-26 19:30:14,Calm
2025-11-26 19:30:14,Calm
2025-11-26 19:30:14,Calm
2025-11-26 19:30:15,Calm
2025-11-26 19:30:15,Calm
2025-11-26 19:30:15,Calm
2025-11-26 19:30:16,Calm
2025-11-26 19:30:16,Calm
2025-11-26 19:30:16,Surprised
2025-11-26 19:30:17,Calm
2025-11-26 19:30:17,Calm
2025-11-26 19:30:17,Calm
2025-11-26 19:30:18,Calm
2025-11-26 19:30:18,Calm
2025-11-26 19:30:18,Calm
2025-11-26 19:30:19,Calm
2025-11-26 19:30:19,Calm
2025-11-26 19:30:19,Calm
2025-11-26 19:30:20,Calm
2025-11-26 19:30:20,Calm
2025-11-26 19:30:20,Calm
2025-11-26 19:30:21,Calm
2025-11-26 19:30:21,Surprised
2025-11-26 19:30:21,Calm
2025-11-26 19:42:52,Calm
2025-11-26 19:42:52,Happy
2025-11-26 19:42:53,Calm
2025-11-26 19:42:53,Calm
2025-11-26 19:42:53,Calm
2025-11-26 19:42:54,Calm
2025-11-26 19:42:54,Calm
2025-11-26 19:42:54,Calm
2025-11-26 19:42:55,Calm
2025-11-26 19:42:55,Calm
2025-11-26 19:42:56,Calm
2025-11-26 19:42:56,Happy
2025-11-26 19:42:56,Calm
2025-11-26 19:42:57,Happy
2025-11-26 19:42:57,Happy
2025-11-26 19:42:57,Happy
2025-11-26 19:42:58,Happy
2025-11-26 19:42:58,Happy
2025-11-26 19:42:58,Surprised
2025-11-26 19:42:59,Surprised
2025-11-26 19:42:59,Surprised
2025-11-26 19:42:59,Surprised
2025-11-26 19:43:00,Surprised
2025-11-26 19:43:00,Calm
2025-11-26 19:43:00,Calm
2025-11-26 19:43:01,Calm
2025-11-26 19:43:01,Calm
2025-11-26 19:43:01,Surprised
2025-11-26 19:43:02,Surprised
2025-11-26 19:43:02,Surprised
2025-11-26 19:43:02,Surprised
2025-11-26 19:43:03,Calm
2025-11-26 19:43:03,Calm
2025-11-26 19:43:04,Calm
2025-11-26 19:43:04,Calm
2025-11-26 19:43:04,Scared
2025-11-26 19:43:05,Calm
2025-11-26 19:43:05,Calm
2025-11-26 19:43:05,Calm
2025-11-26 19:43:06,Calm
2025-11-26 19:43:06,Calm
2025-11-26 19:43:06,Calm
2025-11-26 19:43:07,Calm
2025-11-26 19:43:07,Calm
2025-11-26 19:43:07,Calm
2025-11-26 19:43:08,Calm
2025-11-26 19:43:08,Calm
2025-11-26 22:10:29,Calm
2025-11-26 22:10:29,Calm
2025-11-26 22:10:30,Calm
2025-11-26 22:10:30,Calm
2025-11-26 22:10:30,Calm
2025-11-26 22:10:31,Calm
2025-11-26 22:10:31,Calm
2025-11-26 22:10:31,Calm
2025-11-26 22:10:32,Calm
2025-11-26 22:10:32,Calm
2025-11-26 22:10:32,Calm
2025-11-26 22:10:33,Calm
2025-11-26 22:10:33,Calm
2025-11-26 22:10:33,Calm
2025-11-26 22:10:34,Calm
2025-11-26 22:10:34,Calm
2025-11-26 22:10:35,Surprised
2025-11-26 22:10:35,Surprised
